file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onInstallApk/0,false,493,3,4,1,3,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"onCreateView/3[com.xuexiang.xupdate.widget.LayoutInflater,com.xuexiang.xupdate.widget.ViewGroup,com.xuexiang.xupdate.widget.Bundle]",false,200,6,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"show/4[com.xuexiang.xupdate.widget.FragmentManager,com.xuexiang.xupdate.entity.UpdateEntity,com.xuexiang.xupdate.proxy.IPrompterProxy,com.xuexiang.xupdate.entity.PromptEntity]",false,137,7,4,1,3,1,4,9,0,2,4,4,2,2,0,0,0,0,0,0,2,0,0,0,0,0,17,9,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,installApp/0,false,384,5,10,2,8,5,8,19,0,0,0,8,3,2,0,1,0,0,0,0,0,0,2,0,0,0,21,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,doStart/0,false,412,2,4,2,2,2,3,11,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,dismissDialog/0,false,500,2,8,5,3,1,4,5,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"setDialogTheme/3[int,int,int]",false,316,6,8,1,7,2,11,15,0,1,3,11,0,0,0,1,0,0,0,2,1,0,1,0,0,0,12,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onDestroyView/0,false,530,2,3,0,3,1,4,5,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,initUpdateInfo/1[com.xuexiang.xupdate.entity.UpdateEntity],false,278,3,5,1,4,2,9,10,0,2,1,9,1,2,0,0,0,0,0,0,2,0,1,0,0,0,12,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,initData/0,false,236,3,9,2,7,4,8,16,1,1,0,8,3,4,0,3,0,0,0,0,4,0,1,0,0,0,28,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,clearIPrompterProxy/0,false,540,1,3,2,1,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,10,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"show/2[com.xuexiang.xupdate.widget.FragmentManager,java.lang.String]",false,507,4,2,1,1,5,5,13,1,0,2,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,initView/1[com.xuexiang.xupdate.widget.View],false,211,1,2,2,0,1,1,11,0,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,18,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,getUrl/0,false,567,1,4,3,1,2,1,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"onViewCreated/2[com.xuexiang.xupdate.widget.View,com.xuexiang.xupdate.widget.Bundle]",false,205,5,2,0,2,1,3,5,0,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,handleError/1[java.lang.Throwable],false,449,2,3,0,3,3,4,10,0,0,1,4,2,3,0,0,0,0,0,0,0,0,2,0,0,0,9,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,onStart/0,false,156,4,2,0,2,3,8,15,2,2,0,8,1,2,0,2,0,0,0,0,2,0,1,0,0,0,10,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,handleProgress/1[float],false,424,2,3,0,3,3,6,9,0,0,1,6,1,1,0,1,0,0,0,2,0,1,2,0,0,0,5,1,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,initDialog/0,false,173,6,4,1,3,7,12,23,2,5,0,12,1,1,0,2,0,2,0,4,7,2,1,0,0,0,18,2,0,false
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,"initTheme/3[int,int,int]",false,297,4,4,1,3,5,4,12,0,0,3,4,1,1,0,3,0,0,0,3,3,0,1,0,0,0,13,2,0,true
C:\Users\Acer\Desktop\GroupAssignment2-OOD\Cloned\XUpdate\xupdate-lib\src\main\java\com\xuexiang\xupdate\widget\UpdateDialogFragment.java,com.xuexiang.xupdate.widget.UpdateDialogFragment,getPromptEntity/0,false,258,2,2,1,1,4,2,12,1,1,0,2,0,0,0,3,0,0,0,0,3,0,2,0,0,0,22,2,0,true
